DMR No,DMR Date,Originator,Status,Site,Hold Reason,Initial Qty,Department,MT #,2nd MT#,RMA,Lot #,Part #,Part Desc,Supplier,Inv Loc,Is MDW,Commodity,Discrepancy Rmk,DMR Ref,First Eval Result,First Eval Date,First SSide Qty,First DSide Qty,First UAI Qty,First Scrap Qty,First Evaluator,Second Eval Result,Second Eval Date,Second SSide Qty,Second DSide Qty,Second UAI Qty,Second Scrap Qty,Second Evaluator,Manager Name,Director Name,Manufacturing,Manufacturing Sup,Process,Materials,Test Engineering,Quality,Scrap Authority (Prod),Scrap Authority (Plant),Finance,IQA,Manufacturing 2,Manufacturing Sup 2,Process 2,Materials 2,Test Engineering 2,Quality 2,Scrap Authority (Prod) 2,Scrap Authority (Plant) 2,Finance 2,IQA 2,Evaluation Step,Total Scrap Cost
W1460597137,4/26/2025 9:18:39 AM,Kit Hiong Chan,Pending Approval,Woodlands,Customer Returns,4200,Production Cell#5,RXBR021447(802pcs)&RXBR021464(264pcs),RXBR021464,R25P44115KRTDRW&R25P44140KRTDRW(80455258&80460991),2100/2100,207624701,V11 DS,,ACONMDW,F,RMA(AL),V11 DS Pull back for 100% Wipe+OD Edge Wipe(TA#DRW-RMATDDM)+(V183E)+Flash Test+Glide DS P/N:207624700(SA"J"R8)+MDW out as V11D DS:207624701,,After Glide	 Total Pend MDW FG DS	3134 Flash Reject	802 Test Scrap	264 Total Scrap	1066 DS Qty=3134pcs	 ,5/9/2025 10:26:56 AM,0,3134,3134,1066,Kit Hiong Chan,MDW IN	3134 Total FG DS	630 Total Scrap	2504 MDW DS Yield	37% ,5/9/2025 2:49:50 PM,0,630,630,2504,Sai Mooy Khoo,Kok Huat Ong,Bock Teck Tan,Approved,Pending,-,-,Approved,-,Pending,-,-,-,Approved,Pending,-,-,Approved,-,Pending,-,-,-,HDW & MDW,$14137.20
W1460597144,4/26/2025 9:20:04 AM,Kit Hiong Chan,Pending Evaluation,Woodlands,Customer Returns,4620,Production Cell#5,RXBR021437/46(595/238)&RXB(110),,R25P44285KRTDRW(80479775&80494445),3780/840,207624701,V11 DS,,ACONMDW,F,RMA(AL),V11 DS Pull back for 100% Wipe+OD Edge Wipe(TA#DRW-RMATDDM)+(V183E)+Flash Test+Glide DS P/N:207624700(SA"J"R8)+MDW out as V11D DS:207624701,,After Glide	 Total Pend MDW FG DS	3787 Flash Reject	595 Test Scrap	238 	2nd Flash AW Flash in	3787 Flash Reject	110 Flash Yield	97% AW MDW	3677 Total Scrap	943,5/20/2025 5:29:40 PM,0,3677,3677,943,Kit Hiong Chan,,,,,,, ,Kok Huat Ong,Bock Teck Tan,Approved,Pending,-,-,Approved,-,Pending,-,-,-,Pending,Pending,-,-,Pending,-,Pending,-,-,-,HDW & MDW,$3734.28
W1460650276,4/26/2025 10:05:54 AM,Kit Hiong Chan,Pending Approval,Woodlands,Customer Returns,2870,Production Cell#C,RXBR021438(567pcs)&RXBR021441(63pcs),RXBR021453,R24J43458WXIRMA(80354002),,205767513,Longspeak DS,,BCONMDW,F,RMA(GL),Longspeak for Flash Test(Start RMA REWIPE LOT)(LPK4H)(FFU-RMATDDM)(FLC02)+Wipe+OD Edge Wipe+glide+DS205767506(SA'J'LC)+MDSW outasLongspeak by Pass TA:WE310169AM DS:202142337(FP)/205767503(FK)/05(FL),W1409163138,After Glide	 Total Pend MDW FG DS	2240 Flash Reject	567 Test Scrap	63 Total Scrap	630 DS Qty=2240pcs	 ,4/30/2025 11:05:43 AM,0,2240,2240,630,Kit Hiong Chan,MDW IN	2240 Total FG DS	1960 Total Scrap	280 MDW DS Yield	88% ,5/5/2025 2:13:30 PM,0,1960,1960,280,Bee Ling Lim,Kok Huat Ong,Bock Teck Tan,Approved,Pending,-,-,Approved,-,Pending,-,-,-,Approved,Pending,-,-,Approved,-,Pending,-,-,-,HDW & MDW,$3913.00
W1460650693,4/26/2025 10:44:59 AM,Kit Hiong Chan,Pending Approval,Woodlands,Customer Returns,5600,Production Cell#C,RXBR021447,RXBR021455,R25P44233KRTRMA(80470812),,207325713,LongSpeak DS,,BCONMDW,F,RMA(GL),Longspeak for Flash Test(Start RMA REWIPE LOT)(LPK0E)(FFU-RMATDDM)(FLC02)+Wipe+ODEdge Wipe+glide+DS:207325716(SA'K'XN)+MDSW outasLongspeak by Pass TA:WE310169AM DS:202142337(FP)/205767503(FK)/05(FL),W1450895390,After Glide	 Total Pend MDW FG DS	4660 Flash Reject	769 Test Scrap	171 Total Scrap	940 DS Qty=4660pcs	 ,5/3/2025 2:42:07 PM,0,4660,4660,940,Kit Hiong Chan,MDW IN	4660 Total FG DS	4060 Total Scrap	600 MDW DS Yield	88% ,5/5/2025 2:16:09 PM,0,4060,4060,600,Bee Ling Lim,Kok Huat Ong,Bock Teck Tan,Approved,Pending,-,-,Approved,-,Pending,-,-,-,Approved,Pending,-,-,Approved,-,Pending,-,-,-,HDW & MDW,$6622.00
W1460650793,4/26/2025 10:55:52 AM,Kit Hiong Chan,Pending Approval,Woodlands,Customer Returns,6300,Production Cell#C,RXBR021453,RXBR021465,R24P43333KRTRMA(80337089),,207325607,LongSpeakBP DS,,BCONMDW,F,RMA(GL),Longspeak for Flash Test(Start RMA REWIPE LOT)(BPU1T)(FFU-RMATDDM)(FLC02)+Wipe+ODEdge Wipe+glide+DS:207325605(SA'R'NU)+MDSW outasLongspeak by Pass TA:WE310169AM DS:202142337(FP)/205767503(FK)/05(FL),W1405526799,After Glide	 Total Pend MDW FG DS	4386 Flash Reject	1043 Test Scrap	871 Total Scrap	1914 DS Qty=4386pcs	 ,5/4/2025 10:50:58 AM,0,4386,4386,1914,Kit Hiong Chan,MDW IN	4386 Total FG DS	3500 Total Scrap	886 MDW DS Yield	80% ,5/9/2025 3:27:05 PM,0,3500,3500,886,Bee Ling Lim,Kok Huat Ong,Bock Teck Tan,Approved,Pending,-,-,Approved,-,Pending,-,-,-,Approved,Pending,-,-,Approved,-,Pending,-,-,-,HDW & MDW,$12040.00
W1459518995,4/22/2025 8:36:31 AM,Kit Hiong Chan,Pending Approval,Woodlands,Customer Returns,5810,Production Cell#5,N/A,,R25J44408WXIRTV(80495581),,207550001,CIMARRONBP DS,,ACONMDW,F,RMA(AL),CBPSW DS(Web DMR#W1450039565)Pull back for Cassette Level Sorting+Non Affected UAI&Ship+Affected go CC sorting+Non Affecetd UAI &Ship+affected ReIE+MDW+Remarks:Prime RTV Lot,W1460459142,After Cassette Level Sorting Non Affected=2555pcs UAI&Ship+Affected=3255pcs go CC sorting+Non Affecetd=3010pcs UAI &Ship+affected=245pcs refer to DMR#W1460459142ReIE+MDW,4/25/2025 5:56:53 PM,0,5810,5810,0,Kit Hiong Chan,,,,,,, ,Kok Huat Ong,Bock Teck Tan,Approved,Pending,-,-,Approved,-,Pending,-,-,-, , ,-,-, ,-, ,-,-,-,MDW Only,$0.00
W1459519175,4/22/2025 8:53:38 AM,Kit Hiong Chan,Pending Approval,Woodlands,Customer Returns,350,Production Cell#5,RXBR021429,,R25J44409WXIRTV(80495581),,207624210,V15CP SSB,,ACONMDW,F,RMA(AL),V15CP SS Pull back for Cassette Level Sorting+Non Affected UAI&Ship+Affected go CC sorting+Non Affecetd UAI &Ship+affected ReIE+MDW+Remarks:Prime RTV Lot,,After Cassette Level Sorting Non Affected=175pcs UAI&Ship+Affected=175pcs go CC sorting+Non Affecetd=140pcs UAI &Ship+affected go for scrap,4/25/2025 1:52:04 PM,315,0,315,35,Kit Hiong Chan,,,,,,, ,Kok Huat Ong,Bock Teck Tan,Approved,Pending,-,-,Approved,-,Pending,-,-,-, , ,-,-, ,-, ,-,-,-,MDW Only,$138.60
W1459519314,4/22/2025 9:02:17 AM,Kit Hiong Chan,Pending Approval,Woodlands,Customer Returns,5040,Production Cell#5,RXBR021434/57(595/364)&RXBR021468(222pcs),RXBR021469,R24P43731KRTDRW&R24P43848KRTDRW(80397322&80412625),2940/2100,207624701,V11 DS,,ACONMDW,F,RMA(AL),V11 DS Pull back for 100% Wipe+OD Edge Wipe(TA#DRW-RMATDDM)+(V183E)+Flash Test+Glide DS P/N:207624700(SA"J"R8)+MDW out as V11D DS:207624701,,After Glide	 Total Pend MDW FG DS	4081 Flash Reject	595 Test Scrap	364 	2nd Flash AW Flash in	4081 Flash Reject	222 Flash Yield	95% AW MDW	3859 Total Scrap	1181 ,5/11/2025 9:08:19 AM,0,3859,3859,1181,Kit Hiong Chan,MDW in=3859pcs FG DS=1330pcs Scrap=2529pcs,5/12/2025 11:44:58 AM,0,1330,1330,2529,Meow Cheng Loh,Kok Huat Ong,Bock Teck Tan,Approved,Pending,-,-,Approved,-,Pending,-,-,-,Approved,Pending,-,-,Approved,-,Pending,-,-,-,HDW & MDW,$14691.60
W1444471357,2/19/2025 1:55:01 PM,Kit Hiong Chan,Approved,Woodlands,Customer Returns,192,Production Cell#B,RXBR021310,,R25J43979WXIDRW(80431681),,204181101,Rosewood SSB,,BCONMDW,F,RMA(GL),Rosewood AW MDW SSB(RW14E)(DRW-RMATDDM)SSB:100841106(SA"C"BZ)+MDWS/Aperio SSB:204181107+Drive Return Wuxi,W1437796243,MDW IN	192 Total FG SS	100 Total Scrap	92 MDW SS Yield	67% ,2/20/2025 7:11:47 PM,100,0,100,92,Chia Yun Pang,,,,,,, ,Kok Huat Ong,Bock Teck Tan,Approved,Approved,-,-,Approved,-,Approved,-,-,-, , ,-,-, ,-, ,-,-,-,MDW Only,$395.60
W1444471379,2/19/2025 1:58:46 PM,Kit Hiong Chan,Approved,Woodlands,Customer Returns,531,Production Cell#B,RXBR021310,,Pls refer to DMR Attachment,241/290,204181102,Rosewood SSB,,BCONMDW,F,RMA(GL),Rosewood AW MDW SSB(RW14E)(DRW-RMATDDM)SSB:100841106(SA"C"BZ)+MDWS/Aperio SSB:204181107+Drive Return Wuxi,W1441304363W1440373798,MDW IN	531 Total FG SS	350 Total Scrap	181 MDW SS Yield	72% ,2/20/2025 7:13:00 PM,350,0,350,181,Chia Yun Pang,,,,,,, ,Kok Huat Ong,Bock Teck Tan,Approved,Approved,-,-,Approved,-,Approved,-,-,-, , ,-,-, ,-, ,-,-,-,MDW Only,$778.30
W1444471426,2/19/2025 2:17:41 PM,Kit Hiong Chan,Approved,Woodlands,Customer Returns,672,Production Cell#B,RXBR021310,,Pls refer to DMR Attachment,193/479,204181102,Rosewood SSB,,BCONMDW,F,RMA(GL),Rosewood AW MDW SSB(RW14E)(FFU-RMATDDM)SSB:100841106(SA"C"BZ)+MDWS/Aperio SSB:204181107+Drive Return Wuxi,W1440373776W1440373757,MDW IN	672 Total FG SS	350 Total Scrap	322 MDW SS Yield	56% ,2/20/2025 7:11:05 PM,350,0,350,322,Chia Yun Pang,,,,,,, ,Kok Huat Ong,Bock Teck Tan,Approved,Approved,-,-,Approved,-,Approved,-,-,-, , ,-,-, ,-, ,-,-,-,MDW Only,$1384.60
W1461741772,4/30/2025 3:17:44 PM,Kit Hiong Chan,Pending Approval,Woodlands,Customer Returns,770,Production Cell#8,N/A,,R25P44470KRTRTV(80501013),,208956203,Summit DS,,ACONMDW,F,RMA(GL),SMITB DS(Web DMR#W1455563076)Pull back for Cassette Level Sorting+Non Affected UAI & Ship +Affected go CC sorting Non Affecetd UAI & Ship+affected downgrade to LPKB+R:Prime RTV Lot,W1461796607,After Cassette Level Sorting+Non Affected=350pcs UAI & Ship +Affected=420pcs go CC sorting Non Affecetd=315pcs UAI & Ship+affected=105pcs refer to DMR#W1461796607 for ReIE,5/1/2025 4:05:24 PM,0,770,770,0,Kit Hiong Chan,,,,,,, ,Kok Huat Ong,Bock Teck Tan,Approved,Pending,-,-,Approved,-,Pending,-,-,-, , ,-,-, ,-, ,-,-,-,MDW Only,$0.00
W1461796726,4/30/2025 5:04:20 PM,Kit Hiong Chan,Pending Approval,Woodlands,Customer Returns,840,Production Cell#8,RXBR021445,,R25P44469KRTRTV(80501012),,208956203,Summit DS,,ACONMDW,F,RMA(GL),SMITB DS(Web DMR#W1454398538)Pull back for Cassette Level Sorting+Non Affected UAI & Ship +Affected go CC sorting Non Affecetd UAI & Ship+affected go for scrap+R:Prime RTV Lot,,After Cassette Level Sorting Non Affected=420pcs UAI & Ship+Affected=420pcs go CC sorting Non Affecetd=350pcs UAI & Ship+affected=70pcs go for scrap,5/1/2025 3:31:00 PM,0,770,770,70,Kit Hiong Chan,,,,,,, ,Kok Huat Ong,Bock Teck Tan,Approved,Pending,-,-,Approved,-,Pending,-,-,-, , ,-,-, ,-, ,-,-,-,MDW Only,$301.00
W1444808379,2/20/2025 5:43:14 PM,Kit Hiong Chan,Approved,Woodlands,Customer Returns,567,Production Cell#B,RXBR021324,,R25J43973WXIRMA(80431681),112/247/208,204181101,Rosewood SST,,BCONMDW,F,RMA(GL),Rosewood AW MDW SST(RW14E)(FFU-RMATDDM)SST:100841103(SA"C"BV)+MDWS/Aperio SST:204181104+Drive Return Wuxi,W1437796259W1444129220W1444143885,MDW IN	567 Total FG SS	350 Total Scrap	217 MDW SS Yield	70% ,2/24/2025 6:03:21 PM,350,0,350,217,Chia Yun Pang,,,,,,, ,Kok Huat Ong,Bock Teck Tan,Approved,Approved,-,-,Approved,-,Approved,-,-,-, , ,-,-, ,-, ,-,-,-,MDW Only,$933.10
W1442421645,2/11/2025 9:43:56 AM,Kit Hiong Chan,Approved,Woodlands,Customer Returns,4200,Production Cell#C,RXBR021299(529pcs)&RXBR021304(839pcs),RXBR021304,R24P43331KRTRMA(80337087),,205571803,LongSpeakBP DS,,BCONMDW,F,RMA(GL),LongSpeakBP for Flash Test(Start RMA REWIPE LOT)(BP4H )(FFU-RMATDDM)(FLC02)+Wipe+OD Edge Wipe+Glide Burnish/IE+DS:205571800(SA"M'HB)+LongspeakBP out as Rseed DS:205571802(HB)+24 Eval Korat+R:CSOFFU,,After Glide	 Total Pend MDW FG DS	2832 Flash Reject	529 Test Scrap	839 Total Scrap	1368 DS Qty=2832pcs	 ,2/17/2025 8:06:38 AM,0,2832,2832,1368,Kit Hiong Chan,MDW IN=2832 Total FG DS=1960 Total Scrap=872 MDW DS Yield=70% ,2/17/2025 3:00:46 PM,0,1960,1960,872,Pui Fen Ng,Kok Huat Ong,Bock Teck Tan,Approved,Approved,-,-,Approved,-,Approved,-,-,-,Approved,Approved,-,-,Approved,-,Approved,-,-,-,HDW & MDW,$9632.00
W1442421681,2/11/2025 9:45:58 AM,Kit Hiong Chan,Approved,Woodlands,Customer Returns,4200,Production Cell#C,RXBR021304(H),RXBR021304(M),R24P43332KRTRMA(80337088),,205571803,LongSpeakBP DS,,BCONMDW,F,RMA(GL),LongSpeakBP for Flash Test(Start RMA REWIPE LOT)(BP4H )(FFU-RMATDDM)(FLC02)+Wipe+OD Edge Wipe+Glide Burnish/IE+DS:205571800(SA"M'HB)+LongspeakBP out as Rseed DS:205571802(HB)+24 Eval Korat+R:CSOFFU,,After Glide	 Total Pend MDW FG DS	2969 Flash Reject	883 Test Scrap	348 Total Scrap	1231 DS Qty=2969pcs	 ,2/17/2025 3:44:00 PM,0,2969,2969,1231,Kit Hiong Chan,MDW IN=2969 Total FG DS=2065 Total Scrap=904 MDW DS Yield=70% ,2/17/2025 3:49:24 PM,0,2065,2065,904,Pui Fen Ng,Kok Huat Ong,Bock Teck Tan,Approved,Approved,-,-,Approved,-,Approved,-,-,-,Approved,Approved,-,-,Approved,-,Approved,-,-,-,HDW & MDW,$9180.50
W1445764818,2/24/2025 1:57:46 PM,Kit Hiong Chan,Approved,Woodlands,Customer Returns,193,Production Cell#B,RXBR021321,,R25P44000KRTDRW(80436283),,204181102,Rosewood SSB,,BCONMDW,F,RMA(GL),Rosewood AW MDW SSB(RW14E)(DRW-RMATDDM)SSB:100841106(SA"C"BZ)+MDWS/Aperio SSB:204181107+Drive Return Wuxi,W1440373813,MDW IN	193 Total FG SS	150 Total Scrap	43 MDW SS Yield	80% ,2/24/2025 6:04:24 PM,150,0,150,43,Chia Yun Pang,,,,,,, ,Kok Huat Ong,Bock Teck Tan,Approved,Approved,-,-,Approved,-,Approved,-,-,-, , ,-,-, ,-, ,-,-,-,MDW Only,$184.90
W1445764927,2/24/2025 2:06:02 PM,Kit Hiong Chan,Approved,Woodlands,Customer Returns,206,Production Cell#B,RXBR021327,,R25J44093WXIDRW(80450641),,204181101,Rosewood SS,,BCONMDW,F,RMA(GL),Rosewood AW MDW SSB(RW14E)(DRW-RMATDDM)SSB:100841106(SA"C"BZ)+MDWS/Aperio SSB:204181107+Drive Return Wuxi,W1444170282,MDW IN	206 Total FG SS	200 Total Scrap	6 MDW SS Yield	97% ,3/1/2025 5:37:09 PM,200,0,200,6,Chia Yun Pang,,,,,,, ,Kok Huat Ong,Bock Teck Tan,Approved,Approved,-,-,Approved,-,Approved,-,-,-, , ,-,-, ,-, ,-,-,-,MDW Only,$25.80
W1455123897,4/5/2025 4:59:53 PM,Kit Hiong Chan,Pending Approval,Woodlands,Customer Returns,461,Production Cell#B,RXBR021395,,Pls refer to DMR Attachment,300/161,204181102,Rosewood SST,,BCONMDW,F,RMA(GL),Rosewood AW MDW SST(RW14E)(FFU-RMATDDM)SST:100841103(SA"C"BV)+MDWS/Aperio SST:204181104+Drive Return Wuxi,W1452284311W1450321547,MDW IN	461 Total FG SS	350 Total Scrap	111 MDW SS Yield	76% ,4/7/2025 10:55:28 AM,350,0,350,111,Chia Yun Pang,,,,,,, ,Kok Huat Ong,Bock Teck Tan,Approved,Pending,-,-,Approved,-,Pending,-,-,-, , ,-,-, ,-, ,-,-,-,MDW Only,$477.30
W1455124068,4/5/2025 5:13:02 PM,Kit Hiong Chan,Pending Approval,Woodlands,Customer Returns,791,Production Cell#B,RXBR021408,,Pls refer to DMR Attachment,158/312/321,204181102,Rosewood SST,,BCONMDW,F,RMA(GL),Rosewood AW MDW SST(RW14E)(FFU-RMATDDM)SST:100841103(SA"C"BV)+MDWS/Aperio SST:204181104+Drive Return Wuxi,W1454114869W1450321556W1450321549,MDW IN	791 Total FG SS	450 Total Scrap	341 MDW SS Yield	59% ,4/8/2025 6:04:14 PM,450,0,450,341,Pui Fen Ng,,,,,,, ,Kok Huat Ong,Bock Teck Tan,Approved,Pending,-,-,Approved,-,Pending,-,-,-, , ,-,-, ,-, ,-,-,-,MDW Only,$1466.30
W1460392916,4/25/2025 10:34:48 AM,Kit Hiong Chan,Pending Approval,Woodlands,Customer Returns,4200,Production Cell#C,RXBR021438,RXBR021453,R24J43458WXIRMA(80354002),,205767513,Longspeak DS,,BCONMDW,F,RMA(GL),Longspeak for Flash Test(Start RMA REWIPE LOT)(LPK4H)(FFU-RMATDDM)(FLC02)+Wipe+OD Edge Wipe+glide+DS205767506(SA'J'LC)+MDSW outasLongspeak by Pass TA:WE310169AM DS:202142337(FP)/205767503(FK)/05(FL),W1421910553,After Glide	 Total Pend MDW FG DS	3363 Flash Reject	634 Test Scrap	203 Total Scrap	837 DS Qty=3363pcs	 ,4/29/2025 6:24:11 PM,0,3363,3363,837,Kit Hiong Chan,MDW IN	3363 Total FG DS	3010 Total Scrap	353 MDW DS Yield	90% ,5/5/2025 2:04:33 PM,0,3010,3010,353,Bee Ling Lim,Kok Huat Ong,Bock Teck Tan,Approved,Pending,-,-,Approved,-,Pending,-,-,-,Approved,Pending,-,-,Approved,-,Pending,-,-,-,HDW & MDW,$5117.00
W1461467917,4/29/2025 2:01:39 PM,Kit Hiong Chan,Pending Approval,Woodlands,Customer Returns,2170,Production Cell#5,RXBR021440,,R25J44443WXIRTV(80499344),,207541402,CimarronBP DS,,ACONMDW,F,RMA(AL),CBPSB DS(Web DMR#W1450895584)Pull back for Cassette Level Sorting+Non Affected UAI & Ship +Affected go CC sorting Non Affecetd UAI & Ship+affected go for scrap+R:Prime RTV Lot,,After Cassette Level Sorting Non Affected=805pcs UAI & Ship +Affected=1365pcs go CC sorting Non Affecetd=1190pcs UAI & Ship+affected=175pcs go for scrap,4/30/2025 4:10:01 PM,0,1995,1995,175,Kit Hiong Chan,,,,,,, ,Kok Huat Ong,Bock Teck Tan,Approved,Pending,-,-,Approved,-,Pending,-,-,-, , ,-,-, ,-, ,-,-,-,MDW Only,$693.00
W1461468021,4/29/2025 2:14:43 PM,Kit Hiong Chan,Pending Approval,Woodlands,Customer Returns,3150,Production Cell#5,RXBR021445,,R25J44447WXIRTV&R25J44431WXIRTV(80499369&80499343),2730/420,207624201,V15CMR DS,,ACONMDW,F,RMA(AL),V15CM DS(Web DMR#W1450895584)Pull back for Cassette Level Sorting+Non Affected UAI&Ship+Affected go CC sorting+Non Affecetd UAI &Ship+affected  go for scrap+Remarks:Prime RTV Lot,,After Cassette Level Sorting Non Affected=1435pcs UAI&Ship+Affected=1715pcs go CC sorting+Non Affecetd=1540pcs UAI &Ship+affected=175pcs go for scrap,5/1/2025 9:26:55 AM,0,2975,2975,175,Kit Hiong Chan,,,,,,, ,Kok Huat Ong,Bock Teck Tan,Approved,Pending,-,-,Approved,-,Pending,-,-,-, , ,-,-, ,-, ,-,-,-,MDW Only,$693.00
W1461469278,4/29/2025 3:06:55 PM,Kit Hiong Chan,Pending Approval,Woodlands,Customer Returns,1680,Production Cell#5,RXBR021453(523pcs)&RXBR021457(72pcs),RXBR021464,R25J44425WXIDR&WR25J44422WXIDRW(80499742),1260/420,207624706,V15CMR DS,,ACONMDW,F,RMA(AL),V15MR DS Pull back for 100% Wipe+OD Edge Wipe(TA#DRW-RMATDDM)+(V183E)+Flash Test+Glide DS P/N:207624700(SA"J"R8)+MDW out as V11D DS:207624701,,After Glide	 Total Pend MDW FG DS	1085 Flash Reject	523 Test Scrap	72 Total Scrap	595 DS Qty=1085pcs	 ,5/6/2025 11:32:04 AM,0,1085,1085,595,Kit Hiong Chan,Pend MDW FG=1085 Mdw in=1085 MDW yield=22.0% Total in=1085 FG DS=210 Scrap=875 .CB: C Team,5/9/2025 8:31:15 AM,0,210,210,875,Kit Hiong Chan,Kok Huat Ong,Bock Teck Tan,Approved,Pending,-,-,Approved,-,Pending,-,-,-,Approved,Pending,-,-,Approved,-,Pending,-,-,-,HDW & MDW,$5821.20
W1461469312,4/29/2025 3:09:48 PM,Kit Hiong Chan,Pending Approval,Woodlands,Customer Returns,5040,Production Cell#5,RXBR021465(1836pcs)&RXBR021468(123pcs),RXBR021469,R25J44385WXIRMA&R25J44418WXIRMA(80494445&80499742),4200/840,207624201,V15CMR DS,,ACONMDW,F,RMA(AL),V15MR DS Pull back for 100% Wipe+OD Edge Wipe(TA#FFU-RMATDDM)+(V156E)+Flash Test+Glide DS P/N:207624200(SA"B"E1)+MDW out as V15CM DS:207624201,,After Glide	 Total Pend MDW FG DS	3081 Flash Reject	1836 Test Scrap	123 Total Scrap	1959 DS Qty=3081pcs	 ,5/11/2025 1:20:58 PM,0,3081,3081,1959,Kit Hiong Chan,MDW IN	3081 Total FG DS	2240 Total Scrap	841 MDW DS Yield	77% ,5/13/2025 1:27:24 PM,0,2240,2240,841,Sai Mooy Khoo,Kok Huat Ong,Bock Teck Tan,Approved,Pending,-,-,Approved,-,Pending,-,-,-,Approved,Pending,-,-,Approved,-,Pending,-,-,-,HDW & MDW,$11088.00
W1461531587,4/29/2025 3:42:13 PM,Kit Hiong Chan,Pending Approval,Woodlands,Customer Returns,3570,Production Cell#8,RXBR021440,,R25P44466KRTRTV(80501009),,208362701,LongSpeak DS,,ACONMDW,F,RMA(GL),LPK DS(Web DMR#W1455563076)Pull back for Cassette Level Sorting+Non Affected UAI & Ship +Affected go CC sorting Non Affecetd UAI & Ship+affected downgrade to LPKB P/N:208362702(PN)+R:Prime RTV Lot,W1461796607,After Cassette Level Sorting Non Affected=805pcs UAI & Ship +Affected=2765pcs go CC sorting Non Affecetd=1575pcs UAI & Ship+affected=1155pcs ReIE refer to DMR#W1461796607+Scrap=35pcs,4/30/2025 4:32:53 PM,0,3535,3535,35,Kit Hiong Chan,,,,,,, ,Kok Huat Ong,Bock Teck Tan,Approved,Pending,-,-,Approved,-,Pending,-,-,-, , ,-,-, ,-, ,-,-,-,MDW Only,$150.50
W1461531701,4/29/2025 3:51:40 PM,Kit Hiong Chan,Pending Approval,Woodlands,Customer Returns,3990,Production Cell#8,RXBR021445,,R25P44468KRTRTV(80501011),,208956202,Summit DS,,ACONMDW,F,RMA(GL),SMITR DS(Web DMR#W1455563076)Pull back for Cassette Level Sorting+Non Affected UAI & Ship +Affected go CC sorting Non Affecetd UAI & Ship+affected downgrade to LPKB P/N:208362702(PN)+R:Prime RTV Lot,W1461796607,After Cassette Level Sorting Non Affected=700pcs UAI & Ship +Affected=3290pcs go CC sorting Non Affecetd=2030pcs UAI & Ship+affected=1190pcs refer to DMR#W1461796607 for ReIE+Scrap=70pcs,5/1/2025 2:58:34 PM,0,3920,3920,70,Kit Hiong Chan,,,,,,, ,Kok Huat Ong,Bock Teck Tan,Approved,Pending,-,-,Approved,-,Pending,-,-,-, , ,-,-, ,-, ,-,-,-,MDW Only,$301.00
W1461531733,4/29/2025 4:11:27 PM,Kit Hiong Chan,Pending Approval,Woodlands,Customer Returns,1120,Production Cell#6,RXBR021440,RXBR021445,R25P44467KRTRTV(80501010),,208956101,Summit DS,,ACONMDW,F,RMA(GL),SUMMT DS(Web DMR#W1452875928)Pull back for 100% ReIE(TA:RMADM1)(SU2TE)P/N:208956100(SA"Y"PA)+MDW downgrade to LPKB P/N:208041902(WX)+R:Prime RTV Lot,,After Glide	 Total Pend MDW FG DS	1112 Scrap	8 DS  Qty=1112pcs	 ,4/30/2025 8:50:28 AM,0,1112,1112,8,Kit Hiong Chan,MDW IN	1112 Total FG DS	1015 Total Scrap	97 MDW DS Yield	97% ,5/1/2025 8:59:28 AM,0,1015,1015,97,Sai Mooy Khoo,Kok Huat Ong,Bock Teck Tan,Approved,Pending,-,-,Approved,-,Pending,-,-,-,Approved,Pending,-,-,Approved,-,Pending,-,-,-,HDW & MDW,$451.50
W1461531825,4/29/2025 4:21:21 PM,Kit Hiong Chan,Pending Approval,Woodlands,Customer Returns,5250,Production Cell#7,RXBR021440,,R25P44464KRTRTV(80501007),,205869921,MarlinBP DS,,ACONMDW,F,RMA(GL),MBPBL DS(Web DMR#W1457737373 W1458273051)Pull back for Cassette Level Sorting+Non Affected UAI & Ship +Affected go CC sorting Non Affecetd UAI&Ship+affected go for scrap+R:Prime RTV Lot,,After Cassette Level Sorting Non Affected=420pcs UAI & Ship +Affected=4830pcs go CC sorting Non Affecetd=980pcs UAI&Ship+affected=3850pcs go for scrap,4/30/2025 5:24:05 PM,0,1400,1400,3850,Kit Hiong Chan,,,,,,, ,Kok Huat Ong,Bock Teck Tan,Approved,Pending,-,-,Approved,-,Pending,-,-,-, , ,-,-, ,-, ,-,-,-,MDW Only,$16555.00
W1461665659,4/30/2025 8:14:26 AM,Kit Hiong Chan,Pending Approval,Woodlands,Customer Returns,5600,Production Cell#7,RXBR021452,,R25P44464KRTRTV(80501007),,205869921,MarlinBP DS,,ACONMDW,F,RMA(GL),MBPBL DS(Web DMR#W1457737373 W1458273051)Pull back for Cassette Level Sorting+Non Affected UAI & Ship +Affected go CC sorting Non Affecetd UAI & Ship+affected go for scrap+R:Prime RTV Lot,,After Cassette Level Sorting Non Affected=280pcs UAI & Ship +Affected=5320pcs go CC sorting Non Affecetd=875pcs UAI & Ship+affected=4445pcs go for scrap,5/5/2025 8:27:42 AM,0,1155,1155,4445,Kit Hiong Chan,,,,,,, ,Kok Huat Ong,Bock Teck Tan,Approved,Pending,-,-,Approved,-,Pending,-,-,-, , ,-,-, ,-, ,-,-,-,MDW Only,$19113.50
